COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,19,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 4
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro De Mayores Benito Perez Galdos,"Avenida Ciudad Barcelona, 182, 28007 Distrito de Retiro",4,Centro De Mayores Benito Perez Galdos - غرفة رقم 2
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,27,القنصلية العامة في جدة - غرفة رقم 7
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",59,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 8
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كلية السلامة,40 Hector Street Chester Hill NSW 2162,20,كلية السلامة - غرفة رقم 8
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",7,COLOSSEUM - غرفة رقم 4
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كلية السلامة,40 Hector Street Chester Hill NSW 2162,13,كلية السلامة - غرفة رقم 1
مملكة هولاندا,"سفارة لبنان لدى مملكة هولاندا, لاهاي",السفارة اللبنانية في مملكة هولندا,"Frederikstraat 2, 2514LK, The Hague",2,السفارة اللبنانية في مملكة هولندا - غرفة رقم 2
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Quartierzentrum Wittigkofen,"Jupiterstrasse 15, 3015 Bern",6,Quartierzentrum Wittigkofen
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",HOUSE OF LEBANON,"4800 Wilshire Blvd., Los Angeles, Ca 90005",42,HOUSE OF LEBANON - غرفة رقم 3
كندا,"سفارة لبنان لدى كندا, اوتاوا",Cedar Event Center (Our Lady of Lebanon Church),"111 Clayton Park Dr., Halifax, NS, B3M 1M3",14,Cedar Event Center (Our Lady of Lebanon Church) - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,22,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 7
سلطنة عمان,"سفارة لبنان لدى سلطنة عمان, مسقط",المدرسة العُمانية العالميةInternational School of Oman- ISO,مبنى المدرسة العمانية العالمية- مسقط- بوشر- شارع المها- قرب مركز بوشر الصحي، رقم المبنى 1/21,1,المدرسة العُمانية العالميةInternational School of Oman- ISO - غرفة رقم 1
